sub_context,n_pos,homograph,parent_recall_on_s,parent_recall_hole,top_detector_latent,firing_jaccard,absorption_type,eligible
Argentina,82,False,1.0,0.0,3057,0.01596884128529698,False,False
Australia,150,False,1.0,0.0,6211,0.6084092230187949,False,True
Austria,78,False,1.0,0.0,12691,0.5965964030168246,False,False
Belgium,78,False,1.0,0.0,4697,0.05518680068272331,False,False
Brazil,150,False,1.0,0.0,878,0.05061319836480436,False,True
Canada,150,False,1.0,0.0,10518,0.21560418648905805,False,True
Chile,40,True,0.975,0.025000000000000022,14216,0.10659404785061272,False,False
China,150,False,1.0,0.0,10518,0.21560418648905805,False,True
Colombia,46,False,1.0,0.0,10518,0.21560418648905805,False,False
Costa Rica,23,False,1.0,0.0,250,0.20368592820119025,False,False
Denmark,71,False,1.0,0.0,2877,0.1527103166893336,False,False
Egypt,88,False,1.0,0.0,3253,0.05156821243024822,False,False
Ethiopia,25,False,1.0,0.0,3296,0.13533834586466165,False,False
Finland,49,False,1.0,0.0,1920,0.043232716650438166,False,False
France,150,False,1.0,0.0,1920,0.043232716650438166,False,True
Georgia,150,True,0.2,0.8,1966,0.05851063829787234,True,True
Germany,150,False,1.0,0.0,4984,0.051540509699505514,False,True
Greece,78,False,1.0,0.0,4984,0.051540509699505514,False,False
India,150,False,1.0,0.0,1634,0.18303831939311418,False,True
Indonesia,78,False,1.0,0.0,1634,0.18303831939311418,False,False
Iran,150,False,1.0,0.0,1634,0.18303831939311418,False,True
Iraq,105,False,1.0,0.0,362,0.04030710172744722,False,False
Ireland,150,False,1.0,0.0,1634,0.18303831939311418,False,True
Israel,150,False,1.0,0.0,1634,0.18303831939311418,False,True
Italy,150,False,1.0,0.0,1634,0.18303831939311418,False,True
Japan,150,False,1.0,0.0,9473,0.13799143635655897,False,True
Jordan,124,True,0.2903225806451613,0.7096774193548387,9339,0.02067777139574957,True,False
Kenya,49,False,1.0,0.0,4185,0.09655440918824217,False,False
Mexico,150,False,0.9466666666666667,0.053333333333333344,13586,0.05522068831421349,False,True
Morocco,27,False,1.0,0.0,963,0.03719571567672834,False,False
Netherlands,126,False,1.0,0.0,12691,0.5965964030168246,False,False
New Zealand,150,False,1.0,0.0,250,0.20368592820119025,False,True
Nigeria,73,False,1.0,0.0,619,0.015384615384615385,False,False
Norway,89,False,1.0,0.0,2877,0.1527103166893336,False,False
Pakistan,122,False,1.0,0.0,3394,0.08985341709499334,False,False
Peru,42,False,1.0,0.0,4020,0.09890965732087227,False,False
Poland,150,False,1.0,0.0,12186,0.07067757009345794,False,True
Portugal,48,False,1.0,0.0,7943,0.05939629990262902,False,False
Russia,150,False,1.0,0.0,1855,0.09038238702201622,False,True
Saudi Arabia,53,False,1.0,0.0,250,0.20368592820119025,False,False
South Africa,141,False,1.0,0.0,250,0.20368592820119025,False,False
South Korea,70,False,1.0,0.0,2669,0.016553067185978577,False,False
Spain,150,False,0.9933333333333333,0.00666666666666671,9473,0.13799143635655897,False,True
Sri Lanka,39,False,1.0,0.0,250,0.20368592820119025,False,False
Sweden,122,False,1.0,0.0,2877,0.1527103166893336,False,False
Switzerland,94,False,1.0,0.0,3296,0.13533834586466165,False,False
Thailand,68,False,1.0,0.0,3296,0.13533834586466165,False,False
Turkey,106,True,1.0,0.0,14119,0.14566699123661148,False,False
Ukraine,66,False,1.0,0.0,362,0.04030710172744722,False,False
United Kingdom,150,False,1.0,0.0,250,0.20368592820119025,False,True
United States,150,False,0.7666666666666667,0.23333333333333328,250,0.20368592820119025,False,True
Vietnam,88,False,1.0,0.0,6922,0.07555988315481986,False,False
